filename,if_plate_id,position,sample,locations,antibody,ensembl_ids,gene_names
B2AI_1_untreated_D10_R2_,B2AI_1_untreated,D10,R2,,CAB080429,ENSG00000156983,
B2AI_1_untreated_D10_R3_,B2AI_1_untreated,D10,R3,,CAB080429,ENSG00000156983,
B2AI_1_untreated_D10_R4_,B2AI_1_untreated,D10,R4,,CAB080429,ENSG00000156983,
B2AI_1_untreated_D10_R5_,B2AI_1_untreated,D10,R5,,CAB080429,ENSG00000156983,
B2AI_1_untreated_D10_R6_,B2AI_1_untreated,D10,R6,,CAB080429,ENSG00000156983,
B2AI_1_untreated_D10_R7_,B2AI_1_untreated,D10,R7,,CAB080429,ENSG00000156983,
B2AI_1_untreated_D10_R8_,B2AI_1_untreated,D10,R8,,CAB080429,ENSG00000156983,
B2AI_1_untreated_A8_R1_,B2AI_1_untreated,A8,R1,,CAB080430,ENSG00000130816,
B2AI_1_untreated_A8_R2_,B2AI_1_untreated,A8,R2,,CAB080430,ENSG00000130816,
B2AI_1_untreated_A8_R3_,B2AI_1_untreated,A8,R3,,CAB080430,ENSG00000130816,
B2AI_1_untreated_A8_R4_,B2AI_1_untreated,A8,R4,,CAB080430,ENSG00000130816,
B2AI_1_untreated_A8_R5_,B2AI_1_untreated,A8,R5,,CAB080430,ENSG00000130816,
B2AI_1_untreated_A8_R6_,B2AI_1_untreated,A8,R6,,CAB080430,ENSG00000130816,
B2AI_1_untreated_A8_R7_,B2AI_1_untreated,A8,R7,,CAB080430,ENSG00000130816,
B2AI_1_untreated_A8_R8_,B2AI_1_untreated,A8,R8,,CAB080430,ENSG00000130816,
B2AI_1_untreated_H3_R1_,B2AI_1_untreated,H3,R1,,CAB080431,ENSG00000061273,
B2AI_1_untreated_H3_R2_,B2AI_1_untreated,H3,R2,,CAB080431,ENSG00000061273,
B2AI_1_untreated_H3_R3_,B2AI_1_untreated,H3,R3,,CAB080431,ENSG00000061273,
B2AI_1_untreated_H3_R4_,B2AI_1_untreated,H3,R4,,CAB080431,ENSG00000061273,
B2AI_1_untreated_H3_R5_,B2AI_1_untreated,H3,R5,,CAB080431,ENSG00000061273,
B2AI_1_untreated_H3_R6_,B2AI_1_untreated,H3,R6,,CAB080431,ENSG00000061273,
B2AI_1_untreated_H3_R7_,B2AI_1_untreated,H3,R7,,CAB080431,ENSG00000061273,
B2AI_1_untreated_H3_R8_,B2AI_1_untreated,H3,R8,,CAB080431,ENSG00000061273,
B2AI_1_untreated_B2_R1_,B2AI_1_untreated,B2,R1,,HPA001023,ENSG00000156531,
B2AI_1_untreated_B2_R2_,B2AI_1_untreated,B2,R2,,HPA001023,ENSG00000156531,
B2AI_1_untreated_B2_R3_,B2AI_1_untreated,B2,R3,,HPA001023,ENSG00000156531,
B2AI_1_untreated_B2_R4_,B2AI_1_untreated,B2,R4,,HPA001023,ENSG00000156531,
B2AI_1_untreated_B2_R5_,B2AI_1_untreated,B2,R5,,HPA001023,ENSG00000156531,
B2AI_1_untreated_B2_R6_,B2AI_1_untreated,B2,R6,,HPA001023,ENSG00000156531,
B2AI_1_untreated_B2_R7_,B2AI_1_untreated,B2,R7,,HPA001023,ENSG00000156531,
B2AI_1_untreated_B2_R8_,B2AI_1_untreated,B2,R8,,HPA001023,ENSG00000156531,
B2AI_1_untreated_G10_R1_,B2AI_1_untreated,G10,R1,,HPA001075,ENSG00000147133,
B2AI_1_untreated_G10_R2_,B2AI_1_untreated,G10,R2,,HPA001075,ENSG00000147133,
B2AI_1_untreated_G10_R3_,B2AI_1_untreated,G10,R3,,HPA001075,ENSG00000147133,
B2AI_1_untreated_G10_R4_,B2AI_1_untreated,G10,R4,,HPA001075,ENSG00000147133,
B2AI_1_untreated_G10_R5_,B2AI_1_untreated,G10,R5,,HPA001075,ENSG00000147133,
B2AI_1_untreated_G10_R6_,B2AI_1_untreated,G10,R6,,HPA001075,ENSG00000147133,
B2AI_1_untreated_G10_R7_,B2AI_1_untreated,G10,R7,,HPA001075,ENSG00000147133,
B2AI_1_untreated_G10_R8_,B2AI_1_untreated,G10,R8,,HPA001075,ENSG00000147133,
B2AI_1_untreated_D6_R1_,B2AI_1_untreated,D6,R1,,HPA001780,ENSG00000100784,
B2AI_1_untreated_D6_R2_,B2AI_1_untreated,D6,R2,,HPA001780,ENSG00000100784,
B2AI_1_untreated_D6_R3_,B2AI_1_untreated,D6,R3,,HPA001780,ENSG00000100784,
B2AI_1_untreated_D6_R4_,B2AI_1_untreated,D6,R4,,HPA001780,ENSG00000100784,
B2AI_1_untreated_D6_R5_,B2AI_1_untreated,D6,R5,,HPA001780,ENSG00000100784,
B2AI_1_untreated_D6_R6_,B2AI_1_untreated,D6,R6,,HPA001780,ENSG00000100784,
B2AI_1_untreated_D6_R7_,B2AI_1_untreated,D6,R7,,HPA001780,ENSG00000100784,
B2AI_1_untreated_D6_R8_,B2AI_1_untreated,D6,R8,,HPA001780,ENSG00000100784,
B2AI_1_untreated_C8_R1_,B2AI_1_untreated,C8,R1,,HPA001803,ENSG00000088305,
B2AI_1_untreated_C8_R2_,B2AI_1_untreated,C8,R2,,HPA001803,ENSG00000088305,
B2AI_1_untreated_C8_R3_,B2AI_1_untreated,C8,R3,,HPA001803,ENSG00000088305,
B2AI_1_untreated_C8_R4_,B2AI_1_untreated,C8,R4,,HPA001803,ENSG00000088305,
B2AI_1_untreated_C8_R5_,B2AI_1_untreated,C8,R5,,HPA001803,ENSG00000088305,
B2AI_1_untreated_C8_R6_,B2AI_1_untreated,C8,R6,,HPA001803,ENSG00000088305,
B2AI_1_untreated_C8_R7_,B2AI_1_untreated,C8,R7,,HPA001803,ENSG00000088305,
B2AI_1_untreated_H6_R1_,B2AI_1_untreated,H6,R1,,HPA001890,ENSG00000163932,
B2AI_1_untreated_H6_R2_,B2AI_1_untreated,H6,R2,,HPA001890,ENSG00000163932,
B2AI_1_untreated_H6_R3_,B2AI_1_untreated,H6,R3,,HPA001890,ENSG00000163932,
B2AI_1_untreated_H6_R5_,B2AI_1_untreated,H6,R5,,HPA001890,ENSG00000163932,
B2AI_1_untreated_H6_R6_,B2AI_1_untreated,H6,R6,,HPA001890,ENSG00000163932,
B2AI_1_untreated_H6_R7_,B2AI_1_untreated,H6,R7,,HPA001890,ENSG00000163932,
B2AI_1_untreated_H6_R8_,B2AI_1_untreated,H6,R8,,HPA001890,ENSG00000163932,
B2AI_1_untreated_H5_R1_,B2AI_1_untreated,H5,R1,,HPA002636,ENSG00000087586,
B2AI_1_untreated_H5_R2_,B2AI_1_untreated,H5,R2,,HPA002636,ENSG00000087586,
B2AI_1_untreated_H5_R3_,B2AI_1_untreated,H5,R3,,HPA002636,ENSG00000087586,
B2AI_1_untreated_H5_R4_,B2AI_1_untreated,H5,R4,,HPA002636,ENSG00000087586,
B2AI_1_untreated_H5_R5_,B2AI_1_untreated,H5,R5,,HPA002636,ENSG00000087586,
B2AI_1_untreated_H5_R6_,B2AI_1_untreated,H5,R6,,HPA002636,ENSG00000087586,
B2AI_1_untreated_H5_R7_,B2AI_1_untreated,H5,R7,,HPA002636,ENSG00000087586,
B2AI_1_untreated_G2_R1_,B2AI_1_untreated,G2,R1,,HPA003128,ENSG00000100393,
B2AI_1_untreated_G2_R2_,B2AI_1_untreated,G2,R2,,HPA003128,ENSG00000100393,
B2AI_1_untreated_G2_R3_,B2AI_1_untreated,G2,R3,,HPA003128,ENSG00000100393,
B2AI_1_untreated_G2_R4_,B2AI_1_untreated,G2,R4,,HPA003128,ENSG00000100393,
